seed,n,m,target_r,delta,method,tau,neff,lambda_hat,achieved_risk_test,slack,utility,violation,runtime_fit_ratio,runtime_crc,severity,n_cal
0,2000,500,0.1,0.1,learned+clip,10.0,1915.8871101143552,0.99,1.1675,1.0958899235494877,0.0,1.0675,0.002237610999145545,0.0022376720007741824,0.0,2000
0,2000,500,0.1,0.1,learned+clip,20.0,1915.8871101143552,0.99,1.1675,1.1015752320949062,0.0,1.0675,0.0020520850011962466,0.002248562999739079,0.0,2000
0,2000,500,0.1,0.1,learned+clip,50.0,1915.8871101143552,0.99,1.1675,1.1186311577311618,0.0,1.0675,0.0025095339988183696,0.002281655997649068,0.0,2000
0,2000,500,0.1,0.1,naive-learned-no-split,1.0,1939.3003903009046,0.99,1.1675,1.09080786470615,0.0,1.0675,0.001982330999453552,0.002174279998143902,0.0,2000
0,200,500,0.1,0.1,uniform,1.0,200.0,0.99,1.1625,1.1605547640469527,0.0,1.0625,1.550000160932541e-05,0.0011725139993359335,0.5,200
0,200,500,0.1,0.1,oracle,1.0,160.61404095878586,0.99,1.1625,1.167341445405612,0.0,1.0625,2.6649977371562272e-06,0.0011505410002428107,0.5,200
0,200,500,0.1,0.1,oracle+clip,1.0,187.5088066294683,0.99,1.1625,1.1674156113591598,0.0,1.0625,7.194001227617264e-06,0.0011795569989772048,0.5,200
0,200,500,0.1,0.1,oracle+clip,2.0,166.10981829870877,0.99,1.1625,1.171922319249412,0.0,1.0625,6.3019979279488325e-06,0.0012479990000429098,0.5,200
0,200,500,0.1,0.1,oracle+clip,5.0,160.61404095878586,0.99,1.1625,1.1898695042248428,0.0,1.0625,9.288000001106411e-06,0.0011622940000961535,0.5,200
0,200,500,0.1,0.1,oracle+clip,10.0,160.61404095878586,0.99,1.1625,1.2180295777488814,0.0,1.0625,7.203998393379152e-06,0.0011476760009827558,0.5,200
0,200,500,0.1,0.1,oracle+clip,20.0,160.61404095878586,0.99,1.1625,1.2743497247969588,0.0,1.0625,6.242000381462276e-06,0.0011748489996534772,0.5,200
0,200,500,0.1,0.1,oracle+clip,50.0,160.61404095878586,0.99,1.1625,1.4433101659411907,0.0,1.0625,7.11299799149856e-06,0.0012747100008709822,0.5,200
0,200,500,0.1,0.1,learned,1.0,143.1162678769909,0.99,1.1625,1.1758372578728162,0.0,1.0625,0.0018014029992627911,0.001298546001635259,0.5,200
0,200,500,0.1,0.1,learned+clip,1.0,183.56144363896146,0.99,1.1625,1.1697945449454343,0.0,1.0625,0.0017159190028905869,0.0012713140022242442,0.5,200
0,200,500,0.1,0.1,learned+clip,2.0,158.17197558900017,0.99,1.1625,1.175782240973859,0.0,1.0625,0.001742769996781135,0.0014039189991308376,0.5,200
0,200,500,0.1,0.1,learned+clip,5.0,143.1162678769909,0.99,1.1625,1.1965336475892276,0.0,1.0625,0.0019823110014840495,0.0011696279980242252,0.5,200
0,200,500,0.1,0.1,learned+clip,10.0,143.1162678769909,0.99,1.1625,1.222404134734742,0.0,1.0625,0.0018191070012107957,0.001282956000068225,0.5,200
0,200,500,0.1,0.1,learned+clip,20.0,143.1162678769909,0.99,1.1625,1.2741451090257707,0.0,1.0625,0.0016936659994826186,0.0013167219985916745,0.5,200
0,200,500,0.1,0.1,learned+clip,50.0,143.1162678769909,0.99,1.1625,1.4293680318988566,0.0,1.0625,0.0016405239985033404,0.0014981700005591847,0.5,200
0,200,500,0.1,0.1,naive-learned-no-split,1.0,139.07932805011288,0.99,1.1625,1.180610739546323,0.0,1.0625,0.001830729997891467,0.0013289140006236266,0.5,200
0,500,500,0.1,0.1,uniform,1.0,500.0,0.99,1.159,1.1281639893371445,0.0,1.059,1.0019000910688192e-05,0.001478181999118533,0.5,500
0,500,500,0.1,0.1,oracle,1.0,398.68296840876604,0.99,1.159,1.1360461311743713,0.0,1.059,2.9860020731575787e-06,0.0013155289998394437,0.5,500
0,500,500,0.1,0.1,oracle+clip,1.0,467.33930073903304,0.99,1.159,1.1356661256696454,0.0,1.059,7.744998583802953e-06,0.0012839179980801418,0.5,500
0,500,500,0.1,0.1,oracle+clip,2.0,414.74942070128094,0.99,1.159,1.1392009744708207,0.0,1.059,1.0670999472495168e-05,0.0013857740013918374,0.5,500
0,500,500,0.1,0.1,oracle+clip,5.0,398.68296840876604,0.99,1.159,1.1451106299786267,0.0,1.059,7.515001925639808e-06,0.0012943779984198045,0.5,500
0,500,500,0.1,0.1,oracle+clip,10.0,398.68296840876604,0.99,1.159,1.1564412534839459,0.0,1.059,8.235998393502086e-06,0.0015200220004771836,0.5,500
0,500,500,0.1,0.1,oracle+clip,20.0,398.68296840876604,0.99,1.159,1.1791025004945845,0.0,1.059,7.713999366387725e-06,0.0013453159990604036,0.5,500
0,500,500,0.1,0.1,oracle+clip,50.0,398.68296840876604,0.99,1.159,1.2470862415265005,0.0,1.059,7.204002031357959e-06,0.0012667750015680213,0.5,500
0,500,500,0.1,0.1,learned,1.0,392.0253896123226,0.99,1.159,1.1376573209477567,0.0,1.059,0.0017130630003521219,0.001257637999515282,0.5,500
0,500,500,0.1,0.1,learned+clip,1.0,466.28638541157153,0.99,1.159,1.135910789556954,0.0,1.059,0.0016959599997790065,0.001445309000700945,0.5,500
0,500,500,0.1,0.1,learned+clip,2.0,411.8601036620169,0.99,1.159,1.1408164655372315,0.0,1.059,0.002313457000127528,0.0012916019986732863,0.5,500
0,500,500,0.1,0.1,learned+clip,5.0,392.0253896123226,0.99,1.159,1.1465150705572715,0.0,1.059,0.0017531199991935864,0.0014668699986941647,0.5,500
0,500,500,0.1,0.1,learned+clip,10.0,392.0253896123226,0.99,1.159,1.157587257569165,0.0,1.059,0.001836440002080053,0.0013923160004196689,0.5,500
0,500,500,0.1,0.1,learned+clip,20.0,392.0253896123226,0.99,1.159,1.179731631592952,0.0,1.059,0.0016198840021388605,0.0015167959973041434,0.5,500
0,500,500,0.1,0.1,learned+clip,50.0,392.0253896123226,0.99,1.159,1.246164753664313,0.0,1.059,0.0018990009994013235,0.0012806009981431998,0.5,500
0,500,500,0.1,0.1,naive-learned-no-split,1.0,393.7514324321471,0.99,1.159,1.1336677857365347,0.0,1.059,0.0021106970016262494,0.0013861439983884338,0.5,500
0,1000,500,0.1,0.1,uniform,1.0,1000.0,0.99,1.1535,1.1191365516683778,0.0,1.0534999999999999,9.768999007064849e-06,0.001570188000187045,0.5,1000
